                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.1901,                0.66142,                 1.1294,                0.88981,                0.87244,                0.92342,                0.57767,                 1.3633,                0.63464,                 1.2586,               0.007525,               0.007525,               0.007525
                    128,                 1.1923,                0.65065,                 1.1338,                0.88555,                0.87562,                0.92379,                0.57913,                 1.3605,                0.63571,                 1.2585,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.1803,                0.64538,                 1.1319,                0.88878,                0.87144,                0.92382,                0.57747,                 1.3612,                0.63589,                 1.2607,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.1822,                0.64353,                 1.1295,                0.88583,                0.87843,                0.92512,                0.57838,                 1.3615,                0.63449,                 1.2623,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.1764,                0.64548,                 1.1259,                0.88614,                0.87738,                0.92514,                0.57881,                 1.3603,                 0.6322,                  1.261,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.1752,                0.64111,                 1.1253,                0.89308,                0.87321,                0.92554,                0.57928,                 1.3588,                 0.6291,                 1.2608,               0.007426,               0.007426,               0.007426
                    133,                   1.18,                0.64522,                  1.129,                0.89392,                0.87085,                0.92479,                0.57934,                 1.3584,                0.63121,                 1.2609,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.1801,                0.65088,                 1.1304,                0.89617,                0.87439,                0.92501,                0.58026,                 1.3599,                0.63154,                 1.2618,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.1765,                0.64006,                  1.125,                0.88894,                0.87635,                0.92499,                0.58053,                 1.3582,                0.63179,                 1.2603,              0.0073666,              0.0073666,              0.0073666
                    136,                  1.156,                0.63183,                 1.1194,                0.88856,                0.87232,                0.92467,                0.58258,                 1.3564,                0.63132,                 1.2595,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.1675,                 0.6375,                  1.127,                0.89229,                0.87388,                0.92567,                0.58386,                 1.3561,                0.63285,                 1.2591,               0.007327,               0.007327,               0.007327
                    138,                 1.1653,                 0.6317,                 1.1208,                0.89627,                0.87424,                0.92583,                0.58393,                 1.3561,                0.63024,                 1.2594,              0.0073072,              0.0073072,              0.0073072
                    139,                  1.168,                0.63712,                 1.1293,                0.89272,                0.87436,                 0.9263,                0.58348,                 1.3566,                0.62777,                 1.2599,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.1612,                0.63346,                 1.1174,                0.89606,                0.86665,                0.92614,                0.58371,                 1.3556,                0.62874,                 1.2597,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.1654,                0.64066,                 1.1229,                0.89775,                 0.8658,                0.92675,                0.58373,                 1.3564,                0.62772,                 1.2594,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.1596,                 0.6294,                 1.1213,                0.89478,                0.86705,                0.92609,                0.58309,                 1.3546,                0.62676,                 1.2591,               0.007228,               0.007228,               0.007228
                    143,                 1.1574,                0.63577,                  1.117,                0.89346,                0.86754,                0.92649,                0.58438,                 1.3535,                0.62766,                 1.2584,              0.0072082,              0.0072082,              0.0072082
                    144,                 1.1542,                0.63538,                 1.1213,                0.88888,                0.87037,                0.92585,                0.58447,                 1.3531,                0.62873,                 1.2584,              0.0071884,              0.0071884,              0.0071884
                    145,                 1.1468,                0.62997,                 1.1077,                0.89103,                 0.8677,                0.92577,                0.58586,                 1.3517,                0.62882,                 1.2577,              0.0071686,              0.0071686,              0.0071686
                    146,                 1.1623,                0.63369,                 1.1151,                0.88982,                0.86886,                0.92581,                0.58539,                 1.3509,                0.62693,                  1.257,              0.0071488,              0.0071488,              0.0071488
                    147,                 1.1517,                0.62656,                 1.1118,                0.89263,                0.87002,                0.92734,                0.58534,                 1.3507,                  0.624,                 1.2569,               0.007129,               0.007129,               0.007129
